n,p,b,c,b/c,pC,pD,pC > pD
6,0.2,5,1,5.0,1.658,1.643,1
6,0.2,6,1,6.0,1.661,1.591,1
6,0.2,7,1,7.0,1.699,1.7,0
6,0.2,8,1,8.0,1.621,1.666,0
6,0.2,9,1,9.0,1.726,1.623,1
6,0.2,10,2,5.0,1.694,1.726,0
6,0.2,12,2,6.0,1.688,1.659,1
6,0.2,14,2,7.0,1.681,1.626,1
6,0.2,16,2,8.0,1.72,1.66,1
6,0.2,18,2,9.0,1.675,1.623,1
6,0.2,15,3,5.0,1.695,1.642,1
6,0.2,18,3,6.0,1.729,1.654,1
6,0.2,21,3,7.0,1.68,1.601,1
6,0.2,24,3,8.0,1.731,1.626,1
6,0.2,27,3,9.0,1.68,1.613,1
6,0.4,5,1,5.0,1.648,1.654,0
6,0.4,6,1,6.0,1.655,1.66,0
6,0.4,7,1,7.0,1.66,1.646,1
6,0.4,8,1,8.0,1.666,1.59,1
6,0.4,9,1,9.0,1.706,1.694,1
6,0.4,10,2,5.0,1.661,1.672,0
6,0.4,12,2,6.0,1.679,1.601,1
6,0.4,14,2,7.0,1.7,1.651,1
6,0.4,16,2,8.0,1.716,1.612,1
6,0.4,18,2,9.0,1.753,1.599,1
6,0.4,15,3,5.0,1.721,1.625,1
6,0.4,18,3,6.0,1.713,1.657,1
6,0.4,21,3,7.0,1.691,1.613,1
6,0.4,24,3,8.0,1.709,1.577,1
6,0.4,27,3,9.0,1.723,1.547,1
6,0.6,5,1,5.0,1.618,1.679,0
6,0.6,6,1,6.0,1.675,1.675,0
6,0.6,7,1,7.0,1.651,1.642,1
6,0.6,8,1,8.0,1.626,1.66,0
6,0.6,9,1,9.0,1.711,1.639,1
6,0.6,10,2,5.0,1.694,1.627,1
6,0.6,12,2,6.0,1.673,1.696,0
6,0.6,14,2,7.0,1.773,1.677,1
6,0.6,16,2,8.0,1.769,1.588,1
6,0.6,18,2,9.0,1.669,1.568,1
6,0.6,15,3,5.0,1.655,1.688,0
6,0.6,18,3,6.0,1.628,1.688,0
6,0.6,21,3,7.0,1.706,1.653,1
6,0.6,24,3,8.0,1.767,1.598,1
6,0.6,27,3,9.0,1.807,1.607,1
6,0.8,5,1,5.0,1.63,1.604,1
6,0.8,6,1,6.0,1.756,1.611,1
6,0.8,7,1,7.0,1.679,1.587,1
6,0.8,8,1,8.0,1.716,1.632,1
6,0.8,9,1,9.0,1.644,1.585,1
6,0.8,10,2,5.0,1.701,1.582,1
6,0.8,12,2,6.0,1.711,1.642,1
6,0.8,14,2,7.0,1.751,1.675,1
6,0.8,16,2,8.0,1.752,1.615,1
6,0.8,18,2,9.0,1.711,1.557,1
6,0.8,15,3,5.0,1.64,1.671,0
6,0.8,18,3,6.0,1.779,1.64,1
6,0.8,21,3,7.0,1.759,1.604,1
6,0.8,24,3,8.0,1.85,1.601,1
6,0.8,27,3,9.0,1.731,1.607,1
8,0.2,5,1,5.0,1.247,1.262,0
8,0.2,6,1,6.0,1.219,1.211,1
8,0.2,7,1,7.0,1.273,1.227,1
8,0.2,8,1,8.0,1.251,1.254,0
8,0.2,9,1,9.0,1.236,1.25,0
8,0.2,10,2,5.0,1.218,1.275,0
8,0.2,12,2,6.0,1.222,1.229,0
8,0.2,14,2,7.0,1.269,1.278,0
8,0.2,16,2,8.0,1.296,1.202,1
8,0.2,18,2,9.0,1.32,1.168,1
8,0.2,15,3,5.0,1.277,1.24,1
8,0.2,18,3,6.0,1.279,1.257,1
8,0.2,21,3,7.0,1.33,1.3,1
8,0.2,24,3,8.0,1.279,1.176,1
8,0.2,27,3,9.0,1.344,1.169,1
8,0.4,5,1,5.0,1.283,1.273,1
8,0.4,6,1,6.0,1.207,1.241,0
8,0.4,7,1,7.0,1.311,1.296,1
8,0.4,8,1,8.0,1.295,1.214,1
8,0.4,9,1,9.0,1.309,1.217,1
8,0.4,10,2,5.0,1.281,1.227,1
8,0.4,12,2,6.0,1.224,1.196,1
8,0.4,14,2,7.0,1.327,1.203,1
8,0.4,16,2,8.0,1.291,1.197,1
8,0.4,18,2,9.0,1.255,1.198,1
8,0.4,15,3,5.0,1.226,1.236,0
8,0.4,18,3,6.0,1.302,1.199,1
8,0.4,21,3,7.0,1.279,1.224,1
8,0.4,24,3,8.0,1.293,1.197,1
8,0.4,27,3,9.0,1.295,1.13,1
8,0.6,5,1,5.0,1.202,1.259,0
8,0.6,6,1,6.0,1.249,1.272,0
8,0.6,7,1,7.0,1.286,1.234,1
8,0.6,8,1,8.0,1.254,1.125,1
8,0.6,9,1,9.0,1.281,1.2,1
8,0.6,10,2,5.0,1.233,1.233,0
8,0.6,12,2,6.0,1.227,1.208,1
8,0.6,14,2,7.0,1.254,1.19,1
8,0.6,16,2,8.0,1.307,1.148,1
8,0.6,18,2,9.0,1.257,1.187,1
8,0.6,15,3,5.0,1.181,1.233,0
8,0.6,18,3,6.0,1.261,1.261,0
8,0.6,21,3,7.0,1.254,1.231,1
8,0.6,24,3,8.0,1.311,1.144,1
8,0.6,27,3,9.0,1.309,1.174,1
8,0.8,5,1,5.0,1.235,1.256,0
8,0.8,6,1,6.0,1.25,1.246,1
8,0.8,7,1,7.0,1.217,1.231,0
8,0.8,8,1,8.0,1.266,1.206,1
8,0.8,9,1,9.0,1.266,1.215,1
8,0.8,10,2,5.0,1.308,1.241,1
8,0.8,12,2,6.0,1.28,1.274,1
8,0.8,14,2,7.0,1.25,1.17,1
8,0.8,16,2,8.0,1.307,1.237,1
8,0.8,18,2,9.0,1.266,1.271,0
8,0.8,15,3,5.0,1.226,1.296,0
8,0.8,18,3,6.0,1.268,1.2,1
8,0.8,21,3,7.0,1.337,1.24,1
8,0.8,24,3,8.0,1.344,1.188,1
8,0.8,27,3,9.0,1.323,1.107,1
10,0.2,5,1,5.0,1.004,1.031,0
10,0.2,6,1,6.0,0.956,1.008,0
10,0.2,7,1,7.0,0.969,0.913,1
10,0.2,8,1,8.0,1.012,1.017,0
