n,p,b,c,b/c,pC,pD,pC > pD
6,0.1,6,1,6.0,0.15002,0.11147,1
6,0.1,7,1,7.0,0.142,0.15066,0
6,0.1,8,1,8.0,0.20756,0.06333,1
6,0.1,9,1,9.0,0.06332,0.10274,0
6,0.2,6,1,6.0,0.07137,0.08987,0
6,0.2,7,1,7.0,0.13726,0.29321,0
6,0.2,8,1,8.0,0.03438,0.16166,0
6,0.2,9,1,9.0,0.08336,0.08763,0
6,0.3,6,1,6.0,0.08064,0.14131,0
6,0.3,7,1,7.0,0.26429,0.25928,1
6,0.3,8,1,8.0,0.12877,0.27067,0
6,0.3,9,1,9.0,0.06428,0.29027,0
6,0.4,6,1,6.0,0.10281,0.09098,1
6,0.4,7,1,7.0,0.26025,0.11167,1
6,0.4,8,1,8.0,0.26919,0.204,1
6,0.4,9,1,9.0,0.10448,0.21326,0
6,0.5,6,1,6.0,0.11799,0.09688,1
6,0.5,7,1,7.0,0.12158,0.2118,0
6,0.5,8,1,8.0,0.12093,0.0934,1
6,0.5,9,1,9.0,0.08904,0.2437,0
6,0.6,6,1,6.0,0.23135,0.06813,1
6,0.6,7,1,7.0,0.2364,0.27551,0
6,0.6,8,1,8.0,0.25064,0.05751,1
6,0.6,9,1,9.0,0.26962,0.06278,1
6,0.7,6,1,6.0,0.10008,0.06517,1
6,0.7,7,1,7.0,0.11997,0.23602,0
6,0.7,8,1,8.0,0.24643,0.11565,1
6,0.7,9,1,9.0,0.18299,0.12023,1
6,0.8,6,1,6.0,0.16223,0.07927,1
6,0.8,7,1,7.0,0.08101,0.07115,1
6,0.8,8,1,8.0,0.27957,0.1339,1
6,0.8,9,1,9.0,0.30778,0.24066,1
6,0.9,6,1,6.0,0.14255,0.09038,1
6,0.9,7,1,7.0,0.21971,0.09034,1
6,0.9,8,1,8.0,0.04423,0.2141,0
6,0.9,9,1,9.0,0.1295,0.14604,0
8,0.1,6,1,6.0,0.09917,0.09059,1
8,0.1,7,1,7.0,0.10268,0.19464,0
8,0.1,8,1,8.0,0.24043,0.08355,1
8,0.1,9,1,9.0,0.08924,0.30456,0
8,0.2,6,1,6.0,0.07123,0.28515,0
8,0.2,7,1,7.0,0.04582,0.27229,0
8,0.2,8,1,8.0,0.03391,0.03584,0
8,0.2,9,1,9.0,0.11377,0.22809,0
8,0.3,6,1,6.0,0.06528,0.21467,0
8,0.3,7,1,7.0,0.09865,0.07841,1
8,0.3,8,1,8.0,0.05755,0.06154,0
8,0.3,9,1,9.0,0.13923,0.29899,0
8,0.4,6,1,6.0,0.08954,0.23522,0
8,0.4,7,1,7.0,0.11135,0.04196,1
8,0.4,8,1,8.0,0.05191,0.06034,0
8,0.4,9,1,9.0,0.12048,0.07761,1
8,0.5,6,1,6.0,0.05757,0.21461,0
8,0.5,7,1,7.0,0.12016,0.10687,1
8,0.5,8,1,8.0,0.13575,0.19501,0
8,0.5,9,1,9.0,0.0723,0.06937,1
8,0.6,6,1,6.0,0.05284,0.18488,0
8,0.6,7,1,7.0,0.24034,0.04388,1
8,0.6,8,1,8.0,0.09172,0.25072,0
8,0.6,9,1,9.0,0.04695,0.19333,0
8,0.7,6,1,6.0,0.21145,0.12883,1
8,0.7,7,1,7.0,0.19807,0.07006,1
8,0.7,8,1,8.0,0.06669,0.10444,0
8,0.7,9,1,9.0,0.24767,0.07337,1
8,0.8,6,1,6.0,0.05539,0.26467,0
8,0.8,7,1,7.0,0.29945,0.09242,1
8,0.8,8,1,8.0,0.09564,0.19522,0
8,0.8,9,1,9.0,0.10667,0.07032,1
8,0.9,6,1,6.0,0.18631,0.17226,1
8,0.9,7,1,7.0,0.18244,0.24429,0
8,0.9,8,1,8.0,0.0963,0.16269,0
8,0.9,9,1,9.0,0.09921,0.09833,1
10,0.1,6,1,6.0,0.06039,0.06797,0
10,0.1,7,1,7.0,0.03623,0.05501,0
10,0.1,8,1,8.0,0.07882,0.16687,0
10,0.1,9,1,9.0,0.21367,0.06277,1
10,0.2,6,1,6.0,0.08311,0.25223,0
10,0.2,7,1,7.0,0.08139,0.05896,1
10,0.2,8,1,8.0,0.06904,0.07374,0
10,0.2,9,1,9.0,0.08531,0.06144,1
10,0.3,6,1,6.0,0.04779,0.04779,0
10,0.3,7,1,7.0,0.20712,0.07029,1
10,0.3,8,1,8.0,0.04009,0.23739,0
10,0.3,9,1,9.0,0.04148,0.09837,0
10,0.4,6,1,6.0,0.08304,0.22391,0
10,0.4,7,1,7.0,0.06296,0.053,1
10,0.4,8,1,8.0,0.06141,0.04241,1
10,0.4,9,1,9.0,0.18168,0.07898,1
10,0.5,6,1,6.0,0.06553,0.16886,0
10,0.5,7,1,7.0,0.08421,0.15097,0
10,0.5,8,1,8.0,0.07645,0.11797,0
10,0.5,9,1,9.0,0.07826,0.09698,0
10,0.6,6,1,6.0,0.03366,0.08826,0
10,0.6,7,1,7.0,0.0572,0.25758,0
10,0.6,8,1,8.0,0.23594,0.01574,1
10,0.6,9,1,9.0,0.03564,0.0886,0
10,0.7,6,1,6.0,0.08588,0.05648,1
10,0.7,7,1,7.0,0.07326,0.04147,1
10,0.7,8,1,8.0,0.11677,0.07824,1
10,0.7,9,1,9.0,0.05108,0.09368,0
10,0.8,6,1,6.0,0.08231,0.06868,1
10,0.8,7,1,7.0,0.10664,0.21477,0
10,0.8,8,1,8.0,0.03259,0.04686,0
10,0.8,9,1,9.0,0.05548,0.03773,1
10,0.9,6,1,6.0,0.17337,0.08924,1
10,0.9,7,1,7.0,0.05187,0.02241,1
10,0.9,8,1,8.0,0.17453,0.07457,1
10,0.9,9,1,9.0,0.10757,0.04295,1
12,0.1,6,1,6.0,0.03005,0.22389,0
12,0.1,7,1,7.0,0.07803,0.09623,0
12,0.1,8,1,8.0,0.05378,0.06701,0
12,0.1,9,1,9.0,0.08553,0.07819,1
12,0.2,6,1,6.0,0.07755,0.06909,1
12,0.2,7,1,7.0,0.07764,0.05295,1
12,0.2,8,1,8.0,0.18195,0.07074,1
12,0.2,9,1,9.0,0.05772,0.05355,1
12,0.3,6,1,6.0,0.06427,0.06336,1
12,0.3,7,1,7.0,0.17748,0.08671,1
12,0.3,8,1,8.0,0.06473,0.05594,1
12,0.3,9,1,9.0,0.03927,0.05087,0
